id;type;lat;lon
0;0;57.71947;11.95706
1;0;57.71941;11.95701
2;0;57.71936;11.95698
3;0;57.71930;11.95693
4;0;57.71925;11.95691
5;0;57.71920;11.95687
6;0;57.71916;11.95684
7;0;57.71911;11.95682
8;0;57.71906;11.95678
9;0;57.71900;11.95673
10;0;57.71944;11.95724
11;0;57.71938;11.95718
12;0;57.71934;11.95716
13;0;57.71929;11.95712
14;0;57.71925;11.95709
15;0;57.71918;11.95707
16;0;57.71912;11.95704
17;0;57.71907;11.95701
18;0;57.71901;11.95697
19;0;57.71896;11.95693
